Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PRIVE,"1,360,000","1,097.93","1,239",Sep-22,PUNGGOL FIELD,Resale,Strata,102,"13,333",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
EASTVALE,"1,050,000","1,097.93",956,Sep-22,PASIR RIS DRIVE 3,Resale,Strata,102,"10,294",-,Executive Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05
THE TERRACE,"1,238,000","1,001.05","1,237",Sep-22,EDGEDALE PLAINS,Resale,Strata,93,"13,312",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
1 CANBERRA,"1,020,000",947.23,"1,077",Sep-22,CANBERRA DRIVE,Resale,Strata,88,"11,591",-,Executive Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,01 to 05
PRIVE,"990,500",828.83,"1,195",Sep-22,PUNGGOL FIELD,Resale,Strata,77,"12,864",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
CHESTERVALE,"1,120,000","1,410.08",794,Sep-22,BANGKIT ROAD,Resale,Strata,131,"8,550",-,Executive Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,01 to 05
BELLEWATERS,"1,620,000","1,237.86","1,309",Sep-22,ANCHORVALE CRESCENT,Resale,Strata,115,"14,087",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
THE TOPIARY,"910,000",753.48,"1,208",Sep-22,FERNVALE LANE,Resale,Strata,70,"13,000",-,Executive Condominium,1,99 yrs lease commencing from 2012,28,Outside Central Region,11 to 15
BLOSSOM RESIDENCES,"1,130,000","1,054.87","1,071",Sep-22,SEGAR ROAD,Resale,Strata,98,"11,531",-,Executive Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,11 to 15
THE VALES,"1,738,888","1,410.08","1,233",Sep-22,ANCHORVALE CRESCENT,Resale,Strata,131,"13,274",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
THE VALES,"1,950,000","1,679.18","1,161",Sep-22,ANCHORVALE CRESCENT,Resale,Strata,156,"12,500",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
WOODSVALE,"993,000","1,291.68",769,Sep-22,WOODLANDS DRIVE 72,Resale,Strata,120,"8,275",-,Executive Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,01 to 05
THE TAMPINES TRILLIANT,"1,150,000",871.88,"1,319",Sep-22,TAMPINES CENTRAL 7,Resale,Strata,81,"14,198",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
TWIN WATERFALLS,"1,310,000","1,087.16","1,205",Sep-22,PUNGGOL WALK,Resale,Strata,101,"12,970",-,Executive Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,16 to 20
SIGNATURE AT YISHUN,"1,070,000",947.23,"1,130",Sep-22,YISHUN STREET 51,Resale,Strata,88,"12,159",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
THE AMORE,"1,720,000","1,474.67","1,166",Sep-22,EDGEDALE PLAINS,Resale,Strata,137,"12,555",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,11 to 15
LA CASA,"1,100,000","1,140.98",964,Sep-22,WOODLANDS DRIVE 16,Resale,Strata,106,"10,377",-,Executive Condominium,1,99 yrs lease commencing from 2004,25,Outside Central Region,06 to 10
THE AMORE,"1,610,000","1,302.44","1,236",Sep-22,EDGEDALE PLAINS,Resale,Strata,121,"13,306",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,11 to 15
THE TERRACE,"1,250,000","1,001.05","1,249",Sep-22,EDGEDALE PLAINS,Resale,Strata,93,"13,441",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,11 to 15
WHITEWATER,"1,060,000","1,205.57",879,Sep-22,PASIR RIS STREET 72,Resale,Strata,112,"9,464",-,Executive Condominium,1,99 yrs lease commencing from 2002,18,Outside Central Region,01 to 05
BELYSA,"1,198,000","1,054.87","1,136",Sep-22,PASIR RIS DRIVE 1,Resale,Strata,98,"12,224",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,11 to 15
THE FLORIDA,"1,180,000","1,280.92",921,Sep-22,HOUGANG AVENUE 7,Resale,Strata,119,"9,916",-,Executive Condominium,1,99 yrs lease commencing from 1997,19,Outside Central Region,11 to 15
THE EDEN AT TAMPINES,"1,350,000","1,205.57","1,120",Sep-22,TAMPINES STREET 34,Resale,Strata,112,"12,054",-,Executive Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,06 to 10
NORTHOAKS,"960,000","1,248.62",769,Sep-22,WOODLANDS CRESCENT,Resale,Strata,116,"8,276",-,Executive Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,01 to 05
THE TERRACE,"1,538,000","1,173.28","1,311",Sep-22,EDGEDALE PLAINS,Resale,Strata,109,"14,110",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
THE TERRACE,"1,100,000","1,001.05","1,099",Sep-22,EDGEDALE PLAINS,Resale,Strata,93,"11,828",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,01 to 05
BELLEWOODS,"1,240,888","1,065.64","1,164",Sep-22,WOODLANDS AVENUE 5,Resale,Strata,99,"12,534",-,Executive Condominium,1,99 yrs lease commencing from 2013,25,Outside Central Region,06 to 10
LUSH ACRES,"1,299,880","1,130.22","1,150",Sep-22,FERNVALE CLOSE,Resale,Strata,105,"12,380",-,Executive Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,11 to 15
